Class Code,SUM(Message),MINIMUM(Sent Date),MAXIMUM(Sent Date)
JYO8029,1,2015/04/24,2015/04/24
KAB0203,1,2015/07/17,2015/07/17
KAL1200,2,2015/04/01,2015/04/01
KAM3714,1,2015/09/02,2015/09/02
KAN0583,3,2015/09/05,2015/09/05
KAN1095,13,2015/09/10,2015/09/10
KAN4633,2,2015/07/31,2015/07/31
KAN8682,1,2015/05/14,2015/05/14
KAR6607,2,2015/09/10,2015/09/10
KAT0233,1,2015/07/27,2015/07/27
KAT2339,1,2015/09/02,2015/09/02
KAT2643,2,2015/08/09,2015/08/09
KAT5086,3,2015/09/09,2015/09/09
KAU5355,1,2015/06/23,2015/06/23
KAV6149,2,2015/08/04,2015/08/04
KHA6443,1,2015/03/23,2015/03/23
KHA7163,2,2015/03/22,2015/03/22
KHU3942,2,2015/08/13,2015/08/13
KHU4439,1,2015/08/12,2015/08/12
KHU8937,2,2015/08/12,2015/08/12
KNI0170,5,2015/08/06,2015/08/06
KNI1816,7,2015/08/06,2015/08/06
KNI5227,12,2015/08/06,2015/08/06
KNI8134,2,2015/08/15,2015/08/15
KOR0294,1,2015/07/24,2015/07/24
KOT5764,1,2015/06/30,2015/06/30
KRA4098,72,2015/06/17,2015/06/17
KRA4489,9,2015/06/07,2015/06/07
KRI1804,1,2015/09/08,2015/09/08
KUM1134,1,2015/07/25,2015/07/25
KUM1713,7,2015/07/17,2015/07/17
KUM6205,1,2015/05/06,2015/05/06
KUM9083,2,2015/07/10,2015/07/10
KUM9892,1,2015/07/25,2015/07/25
LAK6349,4,2015/06/17,2015/06/17
LAN5810,2,2015/08/10,2015/08/10
LAN9959,1,2015/07/23,2015/07/23
LAT2346,4,2015/07/05,2015/07/05
LEO7289,30,2015/09/09,2015/09/09
LIN3975,1,2015/09/02,2015/09/02
LLO9252,8,2015/09/08,2015/09/08
MAD3417,1,2015/09/08,2015/09/08
MAD5371,1,2015/09/03,2015/09/03
MAD9134,5,2015/09/08,2015/09/08
MAH2287,3,2015/07/18,2015/07/18
MAH2636,26,2015/07/26,2015/07/26
MAH4727,3,2015/04/16,2015/04/16
MAH5560,1,2015/06/29,2015/06/29
MAH5727,2,2015/09/12,2015/09/12
MAH6826,2,2015/06/15,2015/06/15
MAH7981,4,2015/09/12,2015/09/12
MAH9376,4,2015/07/14,2015/07/14
MAH9975,2,2015/09/12,2015/09/12
MAL5319,1,2015/09/13,2015/09/13
MAS0532,20,2015/09/07,2015/09/07
MAS3600,18,2015/08/25,2015/08/25
MAS7644,11,2015/09/02,2015/09/02
MAS8213,4,2015/08/28,2015/08/28
MAS9279,1,2015/06/27,2015/06/27
MAY8582,1,2015/07/30,2015/07/30
MEE2330,2,2015/08/25,2015/08/25
MEG7654,1,2015/08/23,2015/08/23
MEH4730,2,2015/09/10,2015/09/10
MEH4772,1,2015/08/15,2015/08/15
MEH6212,129,2015/08/30,2015/08/30
MEH6362,3,2015/08/29,2015/08/29
